UT,N_ION,VX_ION,VY_ION,VZ,TX_ION,TY_ION,TZ_ION,VT_ION,TT_ION
2009-09-15T16:41:50.903Z,22.250103,-79.586569,-56.758715,-9.5092565,187.30756,174.11416,114.09591,98.21405018,280.0316758
2009-09-15T16:41:54.036Z,21.812586,-78.257572,-67.802072,-21.601192,182.6199,180.36543,113.43259,105.7732482,280.6219319
2009-09-15T16:41:57.168Z,20.616353,-85.203435,-65.356423,-18.416764,185.82692,184.92062,118.2716,108.9507437,287.6029403
2009-09-15T16:42:00.300Z,22.48413,-79.926832,-55.741614,-11.794254,186.6898,180.66823,114.04873,98.15564391,283.7273402
2009-09-15T16:42:03.432Z,22.601049,-73.749537,-43.194748,-8.257165,183.01115,184.53157,114.79256,85.86594923,284.1167246
2009-09-15T16:42:06.564Z,21.784157,-74.088893,-58.150704,-15.793414,185.71935,186.46586,111.52486,95.49921658,285.8303488
2009-09-15T16:42:09.696Z,22.688985,-83.199602,-74.131039,-28.985153,185.91334,182.04221,109.43896,115.1421895,282.2764995
2009-09-15T16:42:12.828Z,19.946053,-76.232557,-56.317571,-18.268353,181.68981,179.87969,122.51273,96.52359438,283.508834
2009-09-15T16:42:15.960Z,22.339187,-75.076138,-47.608878,-4.8690485,189.05955,176.70137,115.07167,89.03223795,283.2108346
2009-09-15T16:42:19.092Z,21.638993,-79.727509,-64.989818,-16.181528,179.77791,180.3484,115.34399,104.1248961,279.5529974
2009-09-15T16:42:22.224Z,21.318168,-72.868023,-61.205691,-14.961628,182.95223,180.62114,122.75369,96.33138481,284.8929327
2009-09-15T16:42:25.356Z,21.259984,-83.234428,-59.633642,-21.080387,183.686,183.81792,116.73933,104.5395809,284.8818097
2009-09-15T16:42:28.489Z,21.464453,-77.828225,-52.820343,-13.34047,178.44754,173.00938,112.0045,95.00099674,272.6183745
2009-09-15T16:42:31.621Z,21.435454,-74.446391,-54.906607,-9.4170325,178.43464,178.02734,113.94346,92.98215488,276.6148344
2009-09-15T16:42:34.753Z,21.377272,-75.863522,-61.310951,-14.6133,174.85778,172.09985,113.90608,98.62989009,270.4962045
2009-09-15T16:42:37.885Z,23.624641,-74.422728,-56.132228,-17.434508,178.48951,169.49843,105.67339,94.83423186,267.8714026
2009-09-15T16:42:41.017Z,20.881748,-82.882161,-62.33239,-18.501226,174.69878,183.93502,116.34343,105.3426543,279.0834087
2009-09-15T16:42:44.149Z,25.055692,-73.96889,-48.27271,-11.734643,180.67924,172.66099,108.0207,89.10304745,272.2595763
2009-09-15T16:42:47.281Z,22.137599,-70.714218,-57.188694,-21.690297,182.94796,178.17878,120.5065,93.49607656,282.3817456
2009-09-15T16:42:50.413Z,21.116518,-82.274689,-47.011373,-14.556804,188.26622,195.27055,125.4177,95.87019445,298.8383455
2009-09-15T16:42:53.545Z,19.394905,-80.596852,-55.987544,-12.241106,192.936,205.98266,135.81029,98.89541097,313.2053499
2009-09-15T16:42:56.677Z,23.160527,-81.718197,-62.021083,-24.188424,193.91049,185.88828,114.90388,105.4018895,292.1619969
2009-09-15T16:42:59.809Z,21.905897,-80.668879,-62.972674,-18.643627,198.04078,186.17253,120.28546,104.0221637,297.2355183
2009-09-15T16:43:02.941Z,21.439321,-83.190749,-61.304366,-15.088692,189.93853,191.40416,119.94706,104.4346429,295.1262354
