,UT,N_ION,VX_ION,VY_ION,VZ,TX_ION,TY_ION,TZ_ION,VT_ION,TT_ION
1584,2009-09-15T12:22:43.206Z,0.56820815,-6.084852,5.2907074,-7.4649403,3096.2049,3161.4707,2541.8348,10.98828205,5103.166264
1585,2009-09-15T12:22:46.338Z,0.56820815,-7.4872035,-10.048692,-0.20751208,3025.0642,2944.4014,2493.1693,12.53305583,4902.693767
1586,2009-09-15T12:22:49.470Z,0.65562479,-1.8982856,-0.30284184,-1.4107034,2620.9434,2602.5813,2148.5436,2.384383669,4273.056673
1587,2009-09-15T12:22:52.602Z,0.59734703,3.6954217,-6.2426332,-0.49271492,2953.169,2940.7182,2388.3957,7.271133254,4803.484641
1588,2009-09-15T12:22:55.734Z,0.56820815,1.2854114,-4.5544109,3.0949683,2952.3204,2989.66,2574.9047,5.654535338,4927.920137
1589,2009-09-15T12:22:58.866Z,0.62648591,-8.9866414,2.2208976,2.0009741,2734.8139,2693.5986,2270.8154,9.470797598,4459.964469
1590,2009-09-15T12:23:01.998Z,0.53906927,-19.222057,11.413289,-7.40829,3312.3457,3119.6303,2644.9284,23.55065608,5263.019427
1591,2009-09-15T12:23:05.130Z,0.62648591,-9.0757778,1.9007811,2.9416379,2883.9909,2877.4319,2307.2343,9.728100791,4681.917125
1592,2009-09-15T12:23:08.262Z,0.53906927,-3.5704824,3.5884702,-3.3945757,3251.3671,3276.2223,2687.6313,6.09496572,5341.196737
1593,2009-09-15T12:23:11.394Z,0.53906927,5.7589574,-1.7698222,-2.8698565,3215.7234,3155.2072,2607.8997,6.673375254,5205.511532
1594,2009-09-15T12:23:14.527Z,0.59734703,-6.0666201,-1.063115,-1.6296056,2856.5683,2919.5856,2386.0455,6.371005207,4730.451951
1595,2009-09-15T12:23:17.659Z,0.62648591,-3.6003862,-1.5958002,-4.2727141,2742.5235,2808.2695,2274.4156,5.810804148,4536.604353
1596,2009-09-15T12:23:20.791Z,0.59734696,2.3444071,-2.2880082,-6.5629082,2839.5414,2943.8471,2407.6859,7.335052162,4746.175566
1597,2009-09-15T12:23:23.923Z,0.62648583,0.65531049,0.41843818,-9.5805791,2770.3027,2766.8025,2368.6014,9.612076687,4576.029471
1598,2009-09-15T12:23:27.055Z,0.56820808,0.22300831,10.79337,-1.9199071,2892.5231,2990.0536,2416.6572,10.96506324,4811.168511
1599,2009-09-15T12:23:30.187Z,0.62648583,-3.2739039,2.0184378,-12.231696,2782.6454,2808.8729,2295.2064,12.82212638,4571.745269
1600,2009-09-15T12:23:33.319Z,0.59734696,-0.58855508,-2.2005025,-5.5006285,2706.7338,2828.9024,2284.5742,5.953614216,4533.031649
1601,2009-09-15T12:23:36.451Z,0.59734696,3.8026957,3.1074273,1.3727544,2847.4874,2851.8606,2419.5438,5.099122832,4700.583536
1602,2009-09-15T12:23:39.583Z,0.59734696,-10.788997,-2.5738197,-3.2171655,2817.6145,2856.7296,2414.2193,11.54890289,4682.767377
1603,2009-09-15T12:23:42.715Z,0.59734696,1.4459896,-6.1889889,2.4405824,2906.2643,2879.4763,2400.837,6.808150408,4743.603508
1604,2009-09-15T12:23:45.848Z,0.65562471,-3.6413666,-0.29602639,-2.4128943,2642.475,2703.9458,2179.5534,4.378269206,4363.994734
1605,2009-09-15T12:23:48.980Z,0.56820808,1.0146113,6.8202493,-0.4014039,3001.5081,2941.2067,2465.2572,6.906979202,4872.087929
1606,2009-09-15T12:23:52.112Z,0.59734696,-9.14148,-3.7200066,1.8546176,2862.3764,2846.4361,2427.3845,10.04214679,4710.370754
1607,2009-09-15T12:23:55.244Z,0.56820808,-5.0134175,-4.0914908,3.5817219,3071.9426,3071.7723,2496.1904,7.396173589,5010.347584
