UT,B_TOTAL,BX,BY,BZ
2009-09-15T11:06:25.321Z,208.196,-42.5546,144,144.218
2009-09-15T11:06:28.453Z,207.873,-42.3919,143.886,143.913
2009-09-15T11:06:31.585Z,207.823,-42.488,143.96,143.739
2009-09-15T11:06:34.717Z,207.555,-42.2991,143.58,143.786
2009-09-15T11:06:37.849Z,207.308,-42.2313,143.62,143.411
2009-09-15T11:06:40.981Z,207.086,-42.2075,143.18,143.536
2009-09-15T11:06:44.114Z,206.947,-42.3742,143.003,143.463
2009-09-15T11:06:47.246Z,206.689,-42.3065,143.036,143.077
2009-09-15T11:06:50.378Z,206.481,-42.1429,142.995,142.867
2009-09-15T11:06:53.510Z,206.324,-42.2141,142.701,142.912
2009-09-15T11:06:56.642Z,206.097,-42.2859,142.363,142.901
2009-09-15T11:06:59.774Z,205.846,-42.3138,142.506,142.387
2009-09-15T11:07:02.906Z,205.689,-42.2196,142.302,142.392
2009-09-15T11:07:06.038Z,205.524,-42.3607,141.808,142.605
2009-09-15T11:07:09.170Z,205.22,-42.2935,141.812,142.182
2009-09-15T11:07:12.302Z,205.035,-42.295,141.696,142.031
2009-09-15T11:07:15.435Z,204.97,-42.2,141.549,142.112
2009-09-15T11:07:18.567Z,204.732,-42.272,141.205,142.091
2009-09-15T11:07:21.699Z,204.527,-42.2994,141.377,141.615
2009-09-15T11:07:24.831Z,204.359,-42.0398,141.254,141.571
2009-09-15T11:07:27.963Z,204.178,-42.1112,140.946,141.597
2009-09-15T11:07:31.095Z,203.924,-42.1134,140.786,141.389
2009-09-15T11:07:34.227Z,203.747,-42.0451,140.87,141.07
2009-09-15T11:07:37.359Z,203.636,-41.9505,140.694,141.113
2009-09-15T11:07:40.491Z,203.375,-41.8571,140.424,141.033
2009-09-15T11:07:43.623Z,203.14,-41.7893,140.471,140.667
2009-09-15T11:07:46.756Z,202.959,-41.6125,140.297,140.633
2009-09-15T11:07:49.888Z,202.717,-41.5319,140.189,140.415
2009-09-15T11:07:53.020Z,202.49,-41.6037,139.852,140.403
2009-09-15T11:07:56.152Z,202.34,-41.7704,139.668,140.32
2009-09-15T11:07:59.284Z,202.151,-41.8676,139.655,140.031
2009-09-15T11:08:02.416Z,202.017,-41.7732,139.465,140.055
2009-09-15T11:08:05.548Z,201.634,-41.5854,139.013,140.008
2009-09-15T11:08:08.680Z,201.457,-41.8479,138.918,139.769
2009-09-15T11:08:11.812Z,201.36,-41.7789,139.052,139.517
2009-09-15T11:08:14.944Z,201.168,-41.8504,138.736,139.533
2009-09-15T11:08:18.076Z,200.872,-41.7574,138.444,139.425
2009-09-15T11:08:21.209Z,200.699,-41.7589,138.336,139.283
2009-09-15T11:08:24.341Z,200.619,-41.7595,138.284,139.217
2009-09-15T11:08:27.473Z,200.358,-41.6662,138.015,139.137
2009-09-15T11:08:30.605Z,200.069,-41.6687,137.834,138.9
2009-09-15T11:08:33.737Z,199.988,-41.6694,137.783,138.835
2009-09-15T11:08:36.869Z,199.849,-41.5051,137.785,138.681
2009-09-15T11:08:40.001Z,199.658,-41.4112,137.558,138.658
2009-09-15T11:08:43.133Z,199.485,-41.4127,137.449,138.516
2009-09-15T11:08:46.265Z,199.265,-41.4146,137.312,138.337
2009-09-15T11:08:49.397Z,198.993,-41.1559,137.124,138.207
2009-09-15T11:08:52.530Z,198.785,-41.3231,136.904,138.077
2009-09-15T11:08:55.662Z,198.67,-41.3241,136.831,137.983
2009-09-15T11:08:58.794Z,198.368,-41.1355,136.43,138.002
2009-09-15T11:09:01.926Z,198.151,-41.3286,136.505,137.557
2009-09-15T11:09:05.058Z,198.047,-41.3295,136.44,137.472
2009-09-15T11:09:08.190Z,197.925,-41.4004,136.167,137.546
